trip_id,membership_type,bicycle_id,bike_type,checkout_datetime,checkout_date,checkout_time,checkout_kiosk_id,checkout_kiosk,return_kiosk_id,return_kiosk,trip_duration_minutes,month,year
29629276,Local31,19935,electric,2023-05-15T10:41:47.000,2023-05-15T00:00:00.000,2025-11-19 10:41:47,2823,East 5th/Broadway @ Capital Metro HQ,2823,Red River/Cesar Chavez @ The Fairmont,12,5,2023
29630457,Local31,19935,electric,2023-05-15T12:53:38.000,2023-05-15T00:00:00.000,2025-11-19 12:53:38,3660,East 6th/Medina,3660,East 5th/Broadway @ Capital Metro HQ,8,5,2023
29643021,Local31,18971,electric,2023-05-16T23:24:18.000,2023-05-16T00:00:00.000,2025-11-19 23:24:18,2823,East 5th/Broadway @ Capital Metro HQ,2823,4th/Sabine,12,5,2023
29599230,Local31,21477,electric,2023-05-11T17:20:23.000,2023-05-11T00:00:00.000,2025-11-19 17:20:23,2501,5th/Bowie,2501,4th/Sabine,13,5,2023
29600968,Local31,21477,electric,2023-05-11T19:55:26.000,2023-05-11T00:00:00.000,2025-11-19 19:55:26,3794,4th/Sabine,3794,South Congress/Barton Springs @ The Austin American-Statesman,8,5,2023
29601438,Local31,21477,electric,2023-05-11T20:52:13.000,2023-05-11T00:00:00.000,2025-11-19 20:52:13,3513,South Congress/Barton Springs @ The Austin American-Statesman,3513,4th/Sabine,6,5,2023
22232626,,17370,electric,2020-06-22T20:11:43.000,2020-06-22T00:00:00.000,2025-11-19 20:11:43,3793,28th/Rio Grande,2552,3rd/West,19,6,2020
29612716,Local31,21739,electric,2023-05-13T00:59:10.000,2023-05-13T00:00:00.000,2025-11-19 00:59:10,2539,3rd/Trinity @ The Convention Center,2539,4th/Sabine,2,5,2023
29622043,Local31,19748,electric,2023-05-14T05:04:54.000,2023-05-14T00:00:00.000,2025-11-19 05:04:54,3660,East 6th/Medina,3660,East 5th/Broadway @ Capital Metro HQ,8,5,2023
29581178,Local31,16288,electric,2023-05-09T23:26:14.000,2023-05-09T00:00:00.000,2025-11-19 23:26:14,2823,East 5th/Broadway @ Capital Metro HQ,2823,4th/Sabine,11,5,2023
29582898,Local31,16288,electric,2023-05-10T07:43:43.000,2023-05-10T00:00:00.000,2025-11-19 07:43:43,3794,4th/Sabine,3794,East 5th/Broadway @ Capital Metro HQ,10,5,2023
29586531,Local31,21666,electric,2023-05-10T13:15:01.000,2023-05-10T00:00:00.000,2025-11-19 13:15:01,2565,6th/Trinity,2565,12th/San Jacinto @ State Capitol Visitors Garage,3,5,2023
29598174,Local31,21788,electric,2023-05-11T15:40:20.000,2023-05-11T00:00:00.000,2025-11-19 15:40:20,2570,South Congress/Academy,2570,9th/Henderson,15,5,2023
29571817,Local31,23318,electric,2023-05-09T01:45:19.000,2023-05-09T00:00:00.000,2025-11-19 01:45:19,2494,2nd/Congress,2494,3rd/Trinity @ The Convention Center,2,5,2023
29571838,Local31,23318,electric,2023-05-09T01:57:57.000,2023-05-09T00:00:00.000,2025-11-19 01:57:57,2539,3rd/Trinity @ The Convention Center,2539,4th/Sabine,3,5,2023
29574730,Local31,19442,electric,2023-05-09T12:44:57.000,2023-05-09T00:00:00.000,2025-11-19 12:44:57,3794,4th/Sabine,3794,East 5th/Broadway @ Capital Metro HQ,10,5,2023
29562530,Local31,16828,electric,2023-05-07T21:57:31.000,2023-05-07T00:00:00.000,2025-11-19 21:57:31,2494,2nd/Congress,2494,4th/Sabine,3,5,2023
29565267,Local31,16288,electric,2023-05-08T11:57:19.000,2023-05-08T00:00:00.000,2025-11-19 11:57:19,3794,4th/Sabine,3794,2nd/Congress,3,5,2023
29560737,Local31,21487,electric,2023-05-07T18:41:24.000,2023-05-07T00:00:00.000,2025-11-19 18:41:24,3794,4th/Sabine,3794,2nd/Congress,4,5,2023
29541363,Local31,19185,electric,2023-05-06T05:11:38.000,2023-05-06T00:00:00.000,2025-11-19 05:11:38,4060,Red River/Cesar Chavez @ The Fairmont,4060,East 5th/Broadway @ Capital Metro HQ,87,5,2023
29553059,Local31,21668,electric,2023-05-07T05:01:39.000,2023-05-07T00:00:00.000,2025-11-19 05:01:39,2539,3rd/Trinity @ The Convention Center,2539,East 5th/Broadway @ Capital Metro HQ,12,5,2023
29719224,Local365,19437,electric,2023-05-25T19:00:26.000,2023-05-25T00:00:00.000,2025-11-19 19:00:26,2537,6th/West,2537,Riverside/South Lamar,4,5,2023
29494413,Local365,19224,electric,2023-05-01T15:27:15.000,2023-05-01T00:00:00.000,2025-11-19 15:27:15,4047,8th/Lavaca,4047,Barton Springs/Bouldin @ Palmer Auditorium,7,5,2023
29771860,Local365,17374,electric,2023-05-31T07:28:55.000,2023-05-31T00:00:00.000,2025-11-19 07:28:55,2567,Barton Springs/Bouldin @ Palmer Auditorium,2567,8th/Lavaca,6,5,2023
